1430043849	Lomond	Loess	Wind and Water	f9f38ee8-6112-47e5-84e5-1b1a164fbfec	98c65a03-f9a7-4d69-aa46-1637135ca6c3	9aebde6d-9acf-475b-a0a5-dfca386e3c1f
1430043264	Crave & Fall	Secede	Bye Bye Gridlock Traffic	47114536-bf0e-462e-a0e1-c3f70276a75c	8c0e714c-f10f-40f1-a684-81b31c003a58	080639a6-91da-413e-92c5-93f568712f53
1430042458	Age Tandems	Secede	Bye Bye Gridlock Traffic	3266b5b4-f961-41a5-9502-3ba6eaf7541c	8c0e714c-f10f-40f1-a684-81b31c003a58	080639a6-91da-413e-92c5-93f568712f53
1430042226	Outran	Secede	Bye Bye Gridlock Traffic	b1a2790d-dfec-48f0-b84c-3f246be93cab	8c0e714c-f10f-40f1-a684-81b31c003a58	080639a6-91da-413e-92c5-93f568712f53
1430041930	Night Became	Blamstrain	Selected Ambient Dub Works 06-09	17f4669f-1747-4793-bdc3-58570c5a5120	5ec4be83-e99a-4c54-8753-05ec461deb4e	f6fd275e-50aa-406e-a09b-4f3cea7d9e47
1430041520	Sun Dub	Blamstrain	Red Green Blue	533b45ba-d114-4178-9490-4a3ea5f387b9	5ec4be83-e99a-4c54-8753-05ec461deb4e	8dc8c431-589a-4daf-8670-829e5d422bca
1430040802	Missing You	Blamstrain	Selected Ambient Dub Works 06-09	644ccab4-f13e-4dc8-b702-10c1912f9a22	5ec4be83-e99a-4c54-8753-05ec461deb4e	f6fd275e-50aa-406e-a09b-4f3cea7d9e47
1430040522	Linja - Mosaik Remix	Blamstrain	Blamstrain Remixed		5ec4be83-e99a-4c54-8753-05ec461deb4e	f84ab543-ba1f-4ffc-9c73-d74c995b8c2f
1430040189	You Need	Mr. Projectile	Sinking	a6a02947-bf6d-428a-baf5-f2b0812bfd97	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430039905	Inside of a Walking Turtle	Mr. Projectile	In The Fog EP		a1276bd3-6458-4d3e-b296-058dc8cf0442	
1430039667	The Story On Your Face	Mr. Projectile	In The Fog EP		a1276bd3-6458-4d3e-b296-058dc8cf0442	
1430039406	Darkened Skin	Mr. Projectile	In The Fog EP		a1276bd3-6458-4d3e-b296-058dc8cf0442	
1430039113	Seeing The Lines	Mr. Projectile	In The Fog EP		a1276bd3-6458-4d3e-b296-058dc8cf0442	
1430038771	Ignorance Was Bliss	Mr. Projectile	In The Fog EP		a1276bd3-6458-4d3e-b296-058dc8cf0442	
1430038498	Slow Rewards	Mr. Projectile	Sinking	63e847cc-d65b-4098-8bcb-f4fe223b86bc	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430038155	Ignorance Was Bliss	Mr. Projectile	In The Fog EP		a1276bd3-6458-4d3e-b296-058dc8cf0442	
1430037821	Resistance Is Fertile	Mr. Projectile	Sinking	0d6e5282-f803-4075-983e-eb04282bad05	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430037423	Underneath the Evening	Mr. Projectile	Sinking	cd937e61-c68d-4571-a2ff-1e1691de21a0	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430036932	Love Here	Mr. Projectile	Sinking	46ab3aa7-41b5-4490-85a8-9d756f1ba9ca	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430036642	Sinking	Mr. Projectile	Sinking	9bc00565-d98b-43d3-9b4a-1349889095fb	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430036318	I Am Back	Mr. Projectile	Sinking	197c56a0-6cfa-44ae-a568-b72bf8539908	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430035933	You Need	Mr. Projectile	Sinking	a6a02947-bf6d-428a-baf5-f2b0812bfd97	a1276bd3-6458-4d3e-b296-058dc8cf0442	347ba144-fdf5-4181-9c07-0b4b97ba5461
1430035541	Place Gun to Head	Proem	Socially Inept	0d04f30a-e104-45a8-ad57-766b521e9c6c	f0a96ade-9353-4d89-84a7-0b90b0f21049	106bcd6a-97b6-405e-8cd2-91dcfeb37ffb
1430035306	Deep Like Airline Failure	Proem	Socially Inept	9444bafc-35f8-4796-8eaa-881e0073aa7a	f0a96ade-9353-4d89-84a7-0b90b0f21049	106bcd6a-97b6-405e-8cd2-91dcfeb37ffb
1430035008	Eleventh!	Arovane	Tides	70d37586-343b-497b-b400-d0e84c6a2302	bdafd399-f2ab-4553-b037-16c03e5806b4	dde78ec3-be58-39f7-b906-b72a21e2907f
1430034733	Instant Gods Out of the Box	Arovane	Lilies	d770d440-79fa-4ff7-99dd-e72da0ea9b52	bdafd399-f2ab-4553-b037-16c03e5806b4	8ddc1268-5d8c-4ef6-a15b-8c0d2a8f5456
1430034426	Tokyo Ghost Stories	Arovane	Lilies	165058bd-564b-48e1-9a6b-3473d24f509d	bdafd399-f2ab-4553-b037-16c03e5806b4	8ddc1268-5d8c-4ef6-a15b-8c0d2a8f5456
1430034153	Coming Up For Air	Ulrich Schnauss & Jonas Munk	Ulrich Schnauss and Jonas Munk	6282020c-ad8e-4df3-b9b2-e606bd9c6118		
1430033734	A Letter From Home	Ulrich Schnauss	A Strangely Isolated Place	18c11119-144d-48ce-aa13-76b49098e78f	1d4e1e22-36d7-46c7-822d-95bd5757c0e0	0de54c4d-05d9-4b9b-8df4-2ea46187b1da
1430033284	Between Us and Them	Ulrich Schnauss	Far Away Trains Passing By	74284bec-454c-4f65-a9da-0cb1919000b8	1d4e1e22-36d7-46c7-822d-95bd5757c0e0	5462af57-8462-4500-a7a3-19d7dda8e568
